"","Year","State","levels","days"
"1",1980,"Alabama","Good Days",806
"2",1980,"Alabama","Moderate Days",417
"3",1980,"Alabama","Hazardous Days",0
"4",1980,"Alabama","Unhealthy Days",32
"5",1980,"Alabama","Very Unhealthy Days",8
"6",1980,"Alabama","Unhealthy for Sensitive Days",174
"7",1980,"Alaska","Good Days",536
"8",1980,"Alaska","Moderate Days",196
"9",1980,"Alaska","Hazardous Days",0
"10",1980,"Alaska","Unhealthy Days",24
"11",1980,"Alaska","Very Unhealthy Days",16
"12",1980,"Alaska","Unhealthy for Sensitive Days",42
"13",1980,"Arizona","Good Days",934
"14",1980,"Arizona","Moderate Days",484
"15",1980,"Arizona","Hazardous Days",0
"16",1980,"Arizona","Unhealthy Days",535
"17",1980,"Arizona","Very Unhealthy Days",7
"18",1980,"Arizona","Unhealthy for Sensitive Days",413
"19",1980,"Arkansas","Good Days",476
"20",1980,"Arkansas","Moderate Days",84
"21",1980,"Arkansas","Hazardous Days",0
"22",1980,"Arkansas","Unhealthy Days",17
"23",1980,"Arkansas","Very Unhealthy Days",1
"24",1980,"Arkansas","Unhealthy for Sensitive Days",38
"25",1980,"California","Good Days",7606
"26",1980,"California","Moderate Days",3508
"27",1980,"California","Hazardous Days",4
"28",1980,"California","Unhealthy Days",609
"29",1980,"California","Very Unhealthy Days",725
"30",1980,"California","Unhealthy for Sensitive Days",1258
"31",1980,"Colorado","Good Days",2136
"32",1980,"Colorado","Moderate Days",970
"33",1980,"Colorado","Hazardous Days",0
"34",1980,"Colorado","Unhealthy Days",31
"35",1980,"Colorado","Very Unhealthy Days",8
"36",1980,"Colorado","Unhealthy for Sensitive Days",237
"37",1980,"Connecticut","Good Days",543
"38",1980,"Connecticut","Moderate Days",522
"39",1980,"Connecticut","Hazardous Days",0
"40",1980,"Connecticut","Unhealthy Days",157
"41",1980,"Connecticut","Very Unhealthy Days",143
"42",1980,"Connecticut","Unhealthy for Sensitive Days",209
"43",1980,"Delaware","Good Days",573
"44",1980,"Delaware","Moderate Days",233
"45",1980,"Delaware","Hazardous Days",0
"46",1980,"Delaware","Unhealthy Days",43
"47",1980,"Delaware","Very Unhealthy Days",8
"48",1980,"Delaware","Unhealthy for Sensitive Days",157
"49",1980,"District Of Columbia","Good Days",120
"50",1980,"District Of Columbia","Moderate Days",159
"51",1980,"District Of Columbia","Hazardous Days",0
"52",1980,"District Of Columbia","Unhealthy Days",25
"53",1980,"District Of Columbia","Very Unhealthy Days",9
"54",1980,"District Of Columbia","Unhealthy for Sensitive Days",53
"55",1980,"Florida","Good Days",3280
"56",1980,"Florida","Moderate Days",1132
"57",1980,"Florida","Hazardous Days",0
"58",1980,"Florida","Unhealthy Days",107
"59",1980,"Florida","Very Unhealthy Days",3
"60",1980,"Florida","Unhealthy for Sensitive Days",549
"61",1980,"Georgia","Good Days",2057
"62",1980,"Georgia","Moderate Days",409
"63",1980,"Georgia","Hazardous Days",0
"64",1980,"Georgia","Unhealthy Days",10
"65",1980,"Georgia","Very Unhealthy Days",5
"66",1980,"Georgia","Unhealthy for Sensitive Days",82
"67",1980,"Hawaii","Good Days",361
"68",1980,"Hawaii","Moderate Days",0
"69",1980,"Hawaii","Hazardous Days",0
"70",1980,"Hawaii","Unhealthy Days",0
"71",1980,"Hawaii","Very Unhealthy Days",0
"72",1980,"Hawaii","Unhealthy for Sensitive Days",0
"73",1980,"Idaho","Good Days",416
"74",1980,"Idaho","Moderate Days",427
"75",1980,"Idaho","Hazardous Days",0
"76",1980,"Idaho","Unhealthy Days",248
"77",1980,"Idaho","Very Unhealthy Days",0
"78",1980,"Idaho","Unhealthy for Sensitive Days",365
"79",1980,"Illinois","Good Days",3781
"80",1980,"Illinois","Moderate Days",1471
"81",1980,"Illinois","Hazardous Days",0
"82",1980,"Illinois","Unhealthy Days",203
"83",1980,"Illinois","Very Unhealthy Days",24
"84",1980,"Illinois","Unhealthy for Sensitive Days",758
"85",1980,"Indiana","Good Days",2519
"86",1980,"Indiana","Moderate Days",1660
"87",1980,"Indiana","Hazardous Days",0
"88",1980,"Indiana","Unhealthy Days",343
"89",1980,"Indiana","Very Unhealthy Days",28
"90",1980,"Indiana","Unhealthy for Sensitive Days",1124
"91",1980,"Iowa","Good Days",1339
"92",1980,"Iowa","Moderate Days",454
"93",1980,"Iowa","Hazardous Days",0
"94",1980,"Iowa","Unhealthy Days",31
"95",1980,"Iowa","Very Unhealthy Days",3
"96",1980,"Iowa","Unhealthy for Sensitive Days",203
"97",1980,"Kansas","Good Days",726
"98",1980,"Kansas","Moderate Days",227
"99",1980,"Kansas","Hazardous Days",0
"100",1980,"Kansas","Unhealthy Days",15
"101",1980,"Kansas","Very Unhealthy Days",1
"102",1980,"Kansas","Unhealthy for Sensitive Days",111
"103",1980,"Kentucky","Good Days",1970
"104",1980,"Kentucky","Moderate Days",1044
"105",1980,"Kentucky","Hazardous Days",0
"106",1980,"Kentucky","Unhealthy Days",242
"107",1980,"Kentucky","Very Unhealthy Days",34
"108",1980,"Kentucky","Unhealthy for Sensitive Days",676
"109",1980,"Louisiana","Good Days",1457
"110",1980,"Louisiana","Moderate Days",254
"111",1980,"Louisiana","Hazardous Days",0
"112",1980,"Louisiana","Unhealthy Days",32
"113",1980,"Louisiana","Very Unhealthy Days",19
"114",1980,"Louisiana","Unhealthy for Sensitive Days",104
"115",1980,"Maine","Good Days",1081
"116",1980,"Maine","Moderate Days",594
"117",1980,"Maine","Hazardous Days",0
"118",1980,"Maine","Unhealthy Days",175
"119",1980,"Maine","Very Unhealthy Days",4
"120",1980,"Maine","Unhealthy for Sensitive Days",315
"121",1980,"Maryland","Good Days",1414
"122",1980,"Maryland","Moderate Days",644
"123",1980,"Maryland","Hazardous Days",0
"124",1980,"Maryland","Unhealthy Days",137
"125",1980,"Maryland","Very Unhealthy Days",92
"126",1980,"Maryland","Unhealthy for Sensitive Days",274
"127",1980,"Massachusetts","Good Days",1420
"128",1980,"Massachusetts","Moderate Days",1078
"129",1980,"Massachusetts","Hazardous Days",0
"130",1980,"Massachusetts","Unhealthy Days",89
"131",1980,"Massachusetts","Very Unhealthy Days",28
"132",1980,"Massachusetts","Unhealthy for Sensitive Days",310
"133",1980,"Michigan","Good Days",3270
"134",1980,"Michigan","Moderate Days",1368
"135",1980,"Michigan","Hazardous Days",0
"136",1980,"Michigan","Unhealthy Days",142
"137",1980,"Michigan","Very Unhealthy Days",17
"138",1980,"Michigan","Unhealthy for Sensitive Days",664
"139",1980,"Minnesota","Good Days",2021
"140",1980,"Minnesota","Moderate Days",996
"141",1980,"Minnesota","Hazardous Days",0
"142",1980,"Minnesota","Unhealthy Days",86
"143",1980,"Minnesota","Very Unhealthy Days",2
"144",1980,"Minnesota","Unhealthy for Sensitive Days",280
"145",1980,"Mississippi","Good Days",892
"146",1980,"Mississippi","Moderate Days",177
"147",1980,"Mississippi","Hazardous Days",0
"148",1980,"Mississippi","Unhealthy Days",12
"149",1980,"Mississippi","Very Unhealthy Days",1
"150",1980,"Mississippi","Unhealthy for Sensitive Days",80
"151",1980,"Missouri","Good Days",886
"152",1980,"Missouri","Moderate Days",802
"153",1980,"Missouri","Hazardous Days",0
"154",1980,"Missouri","Unhealthy Days",181
"155",1980,"Missouri","Very Unhealthy Days",25
"156",1980,"Missouri","Unhealthy for Sensitive Days",589
"157",1980,"Montana","Good Days",1053
"158",1980,"Montana","Moderate Days",453
"159",1980,"Montana","Hazardous Days",0
"160",1980,"Montana","Unhealthy Days",47
"161",1980,"Montana","Very Unhealthy Days",1
"162",1980,"Montana","Unhealthy for Sensitive Days",172
"163",1980,"Nebraska","Good Days",428
"164",1980,"Nebraska","Moderate Days",196
"165",1980,"Nebraska","Hazardous Days",0
"166",1980,"Nebraska","Unhealthy Days",22
"167",1980,"Nebraska","Very Unhealthy Days",17
"168",1980,"Nebraska","Unhealthy for Sensitive Days",60
"169",1980,"Nevada","Good Days",230
"170",1980,"Nevada","Moderate Days",305
"171",1980,"Nevada","Hazardous Days",0
"172",1980,"Nevada","Unhealthy Days",32
"173",1980,"Nevada","Very Unhealthy Days",7
"174",1980,"Nevada","Unhealthy for Sensitive Days",158
"175",1980,"New Hampshire","Good Days",641
"176",1980,"New Hampshire","Moderate Days",451
"177",1980,"New Hampshire","Hazardous Days",0
"178",1980,"New Hampshire","Unhealthy Days",113
"179",1980,"New Hampshire","Very Unhealthy Days",5
"180",1980,"New Hampshire","Unhealthy for Sensitive Days",243
"181",1980,"New Jersey","Good Days",2119
"182",1980,"New Jersey","Moderate Days",1710
"183",1980,"New Jersey","Hazardous Days",0
"184",1980,"New Jersey","Unhealthy Days",254
"185",1980,"New Jersey","Very Unhealthy Days",114
"186",1980,"New Jersey","Unhealthy for Sensitive Days",495
"187",1980,"New Mexico","Good Days",871
"188",1980,"New Mexico","Moderate Days",377
"189",1980,"New Mexico","Hazardous Days",0
"190",1980,"New Mexico","Unhealthy Days",50
"191",1980,"New Mexico","Very Unhealthy Days",9
"192",1980,"New Mexico","Unhealthy for Sensitive Days",152
"193",1980,"New York","Good Days",2464
"194",1980,"New York","Moderate Days",2045
"195",1980,"New York","Hazardous Days",0
"196",1980,"New York","Unhealthy Days",303
"197",1980,"New York","Very Unhealthy Days",88
"198",1980,"New York","Unhealthy for Sensitive Days",1370
"199",1980,"North Carolina","Good Days",1175
"200",1980,"North Carolina","Moderate Days",618
"201",1980,"North Carolina","Hazardous Days",0
"202",1980,"North Carolina","Unhealthy Days",154
"203",1980,"North Carolina","Very Unhealthy Days",18
"204",1980,"North Carolina","Unhealthy for Sensitive Days",341
"205",1980,"North Dakota","Good Days",1528
"206",1980,"North Dakota","Moderate Days",132
"207",1980,"North Dakota","Hazardous Days",0
"208",1980,"North Dakota","Unhealthy Days",5
"209",1980,"North Dakota","Very Unhealthy Days",0
"210",1980,"North Dakota","Unhealthy for Sensitive Days",27
"211",1980,"Ohio","Good Days",4034
"212",1980,"Ohio","Moderate Days",2332
"213",1980,"Ohio","Hazardous Days",0
"214",1980,"Ohio","Unhealthy Days",357
"215",1980,"Ohio","Very Unhealthy Days",39
"216",1980,"Ohio","Unhealthy for Sensitive Days",1349
"217",1980,"Oklahoma","Good Days",564
"218",1980,"Oklahoma","Moderate Days",332
"219",1980,"Oklahoma","Hazardous Days",0
"220",1980,"Oklahoma","Unhealthy Days",37
"221",1980,"Oklahoma","Very Unhealthy Days",9
"222",1980,"Oklahoma","Unhealthy for Sensitive Days",121
"223",1980,"Oregon","Good Days",1325
"224",1980,"Oregon","Moderate Days",655
"225",1980,"Oregon","Hazardous Days",0
"226",1980,"Oregon","Unhealthy Days",18
"227",1980,"Oregon","Very Unhealthy Days",4
"228",1980,"Oregon","Unhealthy for Sensitive Days",131
"229",1980,"Pennsylvania","Good Days",2595
"230",1980,"Pennsylvania","Moderate Days",2371
"231",1980,"Pennsylvania","Hazardous Days",1
"232",1980,"Pennsylvania","Unhealthy Days",459
"233",1980,"Pennsylvania","Very Unhealthy Days",177
"234",1980,"Pennsylvania","Unhealthy for Sensitive Days",1153
"235",1980,"Puerto Rico","Good Days",611
"236",1980,"Puerto Rico","Moderate Days",95
"237",1980,"Puerto Rico","Hazardous Days",0
"238",1980,"Puerto Rico","Unhealthy Days",4
"239",1980,"Puerto Rico","Very Unhealthy Days",0
"240",1980,"Puerto Rico","Unhealthy for Sensitive Days",41
"241",1980,"Rhode Island","Good Days",276
"242",1980,"Rhode Island","Moderate Days",280
"243",1980,"Rhode Island","Hazardous Days",0
"244",1980,"Rhode Island","Unhealthy Days",34
"245",1980,"Rhode Island","Very Unhealthy Days",15
"246",1980,"Rhode Island","Unhealthy for Sensitive Days",91
"247",1980,"South Carolina","Good Days",1473
"248",1980,"South Carolina","Moderate Days",600
"249",1980,"South Carolina","Hazardous Days",0
"250",1980,"South Carolina","Unhealthy Days",62
"251",1980,"South Carolina","Very Unhealthy Days",1
"252",1980,"South Carolina","Unhealthy for Sensitive Days",303
"253",1980,"Tennessee","Good Days",1844
"254",1980,"Tennessee","Moderate Days",1341
"255",1980,"Tennessee","Hazardous Days",0
"256",1980,"Tennessee","Unhealthy Days",260
"257",1980,"Tennessee","Very Unhealthy Days",20
"258",1980,"Tennessee","Unhealthy for Sensitive Days",893
"259",1980,"Texas","Good Days",2683
"260",1980,"Texas","Moderate Days",1097
"261",1980,"Texas","Hazardous Days",0
"262",1980,"Texas","Unhealthy Days",196
"263",1980,"Texas","Very Unhealthy Days",99
"264",1980,"Texas","Unhealthy for Sensitive Days",532
"265",1980,"Utah","Good Days",1252
"266",1980,"Utah","Moderate Days",593
"267",1980,"Utah","Hazardous Days",0
"268",1980,"Utah","Unhealthy Days",89
"269",1980,"Utah","Very Unhealthy Days",7
"270",1980,"Utah","Unhealthy for Sensitive Days",285
"271",1980,"Vermont","Good Days",696
"272",1980,"Vermont","Moderate Days",103
"273",1980,"Vermont","Hazardous Days",0
"274",1980,"Vermont","Unhealthy Days",2
"275",1980,"Vermont","Very Unhealthy Days",0
"276",1980,"Vermont","Unhealthy for Sensitive Days",13
"277",1980,"Virginia","Good Days",2305
"278",1980,"Virginia","Moderate Days",1155
"279",1980,"Virginia","Hazardous Days",0
"280",1980,"Virginia","Unhealthy Days",89
"281",1980,"Virginia","Very Unhealthy Days",12
"282",1980,"Virginia","Unhealthy for Sensitive Days",339
"283",1980,"Washington","Good Days",1446
"284",1980,"Washington","Moderate Days",795
"285",1980,"Washington","Hazardous Days",0
"286",1980,"Washington","Unhealthy Days",119
"287",1980,"Washington","Very Unhealthy Days",6
"288",1980,"Washington","Unhealthy for Sensitive Days",351
"289",1980,"West Virginia","Good Days",487
"290",1980,"West Virginia","Moderate Days",346
"291",1980,"West Virginia","Hazardous Days",0
"292",1980,"West Virginia","Unhealthy Days",37
"293",1980,"West Virginia","Very Unhealthy Days",0
"294",1980,"West Virginia","Unhealthy for Sensitive Days",183
"295",1980,"Wisconsin","Good Days",3111
"296",1980,"Wisconsin","Moderate Days",1005
"297",1980,"Wisconsin","Hazardous Days",0
"298",1980,"Wisconsin","Unhealthy Days",355
"299",1980,"Wisconsin","Very Unhealthy Days",17
"300",1980,"Wisconsin","Unhealthy for Sensitive Days",686
"301",1981,"Alabama","Good Days",1014
"302",1981,"Alabama","Moderate Days",475
"303",1981,"Alabama","Hazardous Days",0
"304",1981,"Alabama","Unhealthy Days",67
"305",1981,"Alabama","Very Unhealthy Days",14
"306",1981,"Alabama","Unhealthy for Sensitive Days",229
"307",1981,"Alaska","Good Days",429
"308",1981,"Alaska","Moderate Days",205
"309",1981,"Alaska","Hazardous Days",0
"310",1981,"Alaska","Unhealthy Days",19
"311",1981,"Alaska","Very Unhealthy Days",3
"312",1981,"Alaska","Unhealthy for Sensitive Days",36
"313",1981,"Arizona","Good Days",1295
"314",1981,"Arizona","Moderate Days",481
"315",1981,"Arizona","Hazardous Days",0
"316",1981,"Arizona","Unhealthy Days",712
"317",1981,"Arizona","Very Unhealthy Days",15
"318",1981,"Arizona","Unhealthy for Sensitive Days",467
"319",1981,"Arkansas","Good Days",580
"320",1981,"Arkansas","Moderate Days",126
"321",1981,"Arkansas","Hazardous Days",0
"322",1981,"Arkansas","Unhealthy Days",3
"323",1981,"Arkansas","Very Unhealthy Days",0
"324",1981,"Arkansas","Unhealthy for Sensitive Days",50
"325",1981,"California","Good Days",8459
"326",1981,"California","Moderate Days",3353
"327",1981,"California","Hazardous Days",0
"328",1981,"California","Unhealthy Days",612
"329",1981,"California","Very Unhealthy Days",660
"330",1981,"California","Unhealthy for Sensitive Days",1280
"331",1981,"Colorado","Good Days",2112
"332",1981,"Colorado","Moderate Days",990
"333",1981,"Colorado","Hazardous Days",2
"334",1981,"Colorado","Unhealthy Days",38
"335",1981,"Colorado","Very Unhealthy Days",18
"336",1981,"Colorado","Unhealthy for Sensitive Days",239
"337",1981,"Connecticut","Good Days",637
"338",1981,"Connecticut","Moderate Days",615
"339",1981,"Connecticut","Hazardous Days",0
"340",1981,"Connecticut","Unhealthy Days",112
"341",1981,"Connecticut","Very Unhealthy Days",75
"342",1981,"Connecticut","Unhealthy for Sensitive Days",193
"343",1981,"Delaware","Good Days",643
"344",1981,"Delaware","Moderate Days",190
"345",1981,"Delaware","Hazardous Days",0
"346",1981,"Delaware","Unhealthy Days",7
"347",1981,"Delaware","Very Unhealthy Days",0
"348",1981,"Delaware","Unhealthy for Sensitive Days",91
"349",1981,"District Of Columbia","Good Days",51
"350",1981,"District Of Columbia","Moderate Days",254
"351",1981,"District Of Columbia","Hazardous Days",0
"352",1981,"District Of Columbia","Unhealthy Days",13
"353",1981,"District Of Columbia","Very Unhealthy Days",1
"354",1981,"District Of Columbia","Unhealthy for Sensitive Days",46
"355",1981,"Florida","Good Days",3288
"356",1981,"Florida","Moderate Days",1330
"357",1981,"Florida","Hazardous Days",0
"358",1981,"Florida","Unhealthy Days",113
"359",1981,"Florida","Very Unhealthy Days",1
"360",1981,"Florida","Unhealthy for Sensitive Days",574
"361",1981,"Georgia","Good Days",923
"362",1981,"Georgia","Moderate Days",287
"363",1981,"Georgia","Hazardous Days",0
"364",1981,"Georgia","Unhealthy Days",28
"365",1981,"Georgia","Very Unhealthy Days",7
"366",1981,"Georgia","Unhealthy for Sensitive Days",67
"367",1981,"Hawaii","Good Days",326
"368",1981,"Hawaii","Moderate Days",33
"369",1981,"Hawaii","Hazardous Days",0
"370",1981,"Hawaii","Unhealthy Days",0
"371",1981,"Hawaii","Very Unhealthy Days",0
"372",1981,"Hawaii","Unhealthy for Sensitive Days",0
"373",1981,"Idaho","Good Days",433
"374",1981,"Idaho","Moderate Days",379
"375",1981,"Idaho","Hazardous Days",0
"376",1981,"Idaho","Unhealthy Days",215
"377",1981,"Idaho","Very Unhealthy Days",0
"378",1981,"Idaho","Unhealthy for Sensitive Days",339
"379",1981,"Illinois","Good Days",4281
"380",1981,"Illinois","Moderate Days",1578
"381",1981,"Illinois","Hazardous Days",0
"382",1981,"Illinois","Unhealthy Days",134
"383",1981,"Illinois","Very Unhealthy Days",9
"384",1981,"Illinois","Unhealthy for Sensitive Days",652
"385",1981,"Indiana","Good Days",2791
"386",1981,"Indiana","Moderate Days",1932
"387",1981,"Indiana","Hazardous Days",0
"388",1981,"Indiana","Unhealthy Days",413
"389",1981,"Indiana","Very Unhealthy Days",10
"390",1981,"Indiana","Unhealthy for Sensitive Days",1407
"391",1981,"Iowa","Good Days",1136
"392",1981,"Iowa","Moderate Days",389
"393",1981,"Iowa","Hazardous Days",0
"394",1981,"Iowa","Unhealthy Days",5
"395",1981,"Iowa","Very Unhealthy Days",0
"396",1981,"Iowa","Unhealthy for Sensitive Days",135
"397",1981,"Kansas","Good Days",459
"398",1981,"Kansas","Moderate Days",190
"399",1981,"Kansas","Hazardous Days",0
"400",1981,"Kansas","Unhealthy Days",50
"401",1981,"Kansas","Very Unhealthy Days",0
"402",1981,"Kansas","Unhealthy for Sensitive Days",121
"403",1981,"Kentucky","Good Days",2546
"404",1981,"Kentucky","Moderate Days",1155
"405",1981,"Kentucky","Hazardous Days",0
"406",1981,"Kentucky","Unhealthy Days",148
"407",1981,"Kentucky","Very Unhealthy Days",7
"408",1981,"Kentucky","Unhealthy for Sensitive Days",633
"409",1981,"Louisiana","Good Days",2199
"410",1981,"Louisiana","Moderate Days",636
"411",1981,"Louisiana","Hazardous Days",0
"412",1981,"Louisiana","Unhealthy Days",65
"413",1981,"Louisiana","Very Unhealthy Days",12
"414",1981,"Louisiana","Unhealthy for Sensitive Days",240
"415",1981,"Maine","Good Days",1432
"416",1981,"Maine","Moderate Days",644
"417",1981,"Maine","Hazardous Days",0
"418",1981,"Maine","Unhealthy Days",98
"419",1981,"Maine","Very Unhealthy Days",3
"420",1981,"Maine","Unhealthy for Sensitive Days",398
"421",1981,"Maryland","Good Days",1775
"422",1981,"Maryland","Moderate Days",923
"423",1981,"Maryland","Hazardous Days",0
"424",1981,"Maryland","Unhealthy Days",105
"425",1981,"Maryland","Very Unhealthy Days",36
"426",1981,"Maryland","Unhealthy for Sensitive Days",325
"427",1981,"Massachusetts","Good Days",1610
"428",1981,"Massachusetts","Moderate Days",998
"429",1981,"Massachusetts","Hazardous Days",0
"430",1981,"Massachusetts","Unhealthy Days",56
"431",1981,"Massachusetts","Very Unhealthy Days",16
"432",1981,"Massachusetts","Unhealthy for Sensitive Days",302
"433",1981,"Michigan","Good Days",2746
"434",1981,"Michigan","Moderate Days",1276
"435",1981,"Michigan","Hazardous Days",0
"436",1981,"Michigan","Unhealthy Days",104
"437",1981,"Michigan","Very Unhealthy Days",10
"438",1981,"Michigan","Unhealthy for Sensitive Days",684
"439",1981,"Minnesota","Good Days",1842
"440",1981,"Minnesota","Moderate Days",777
"441",1981,"Minnesota","Hazardous Days",0
"442",1981,"Minnesota","Unhealthy Days",52
"443",1981,"Minnesota","Very Unhealthy Days",0
"444",1981,"Minnesota","Unhealthy for Sensitive Days",158
"445",1981,"Mississippi","Good Days",1195
"446",1981,"Mississippi","Moderate Days",159
"447",1981,"Mississippi","Hazardous Days",0
"448",1981,"Mississippi","Unhealthy Days",7
"449",1981,"Mississippi","Very Unhealthy Days",0
"450",1981,"Mississippi","Unhealthy for Sensitive Days",48
"451",1981,"Missouri","Good Days",1149
"452",1981,"Missouri","Moderate Days",684
"453",1981,"Missouri","Hazardous Days",0
"454",1981,"Missouri","Unhealthy Days",108
"455",1981,"Missouri","Very Unhealthy Days",9
"456",1981,"Missouri","Unhealthy for Sensitive Days",397
"457",1981,"Montana","Good Days",1127
"458",1981,"Montana","Moderate Days",335
"459",1981,"Montana","Hazardous Days",0
"460",1981,"Montana","Unhealthy Days",56
"461",1981,"Montana","Very Unhealthy Days",3
"462",1981,"Montana","Unhealthy for Sensitive Days",115
"463",1981,"Nebraska","Good Days",584
"464",1981,"Nebraska","Moderate Days",127
"465",1981,"Nebraska","Hazardous Days",0
"466",1981,"Nebraska","Unhealthy Days",3
"467",1981,"Nebraska","Very Unhealthy Days",5
"468",1981,"Nebraska","Unhealthy for Sensitive Days",11
"469",1981,"Nevada","Good Days",612
"470",1981,"Nevada","Moderate Days",403
"471",1981,"Nevada","Hazardous Days",0
"472",1981,"Nevada","Unhealthy Days",17
"473",1981,"Nevada","Very Unhealthy Days",7
"474",1981,"Nevada","Unhealthy for Sensitive Days",196
"475",1981,"New Hampshire","Good Days",823
"476",1981,"New Hampshire","Moderate Days",538
"477",1981,"New Hampshire","Hazardous Days",0
"478",1981,"New Hampshire","Unhealthy Days",58
"479",1981,"New Hampshire","Very Unhealthy Days",4
"480",1981,"New Hampshire","Unhealthy for Sensitive Days",263
"481",1981,"New Jersey","Good Days",2143
"482",1981,"New Jersey","Moderate Days",1624
"483",1981,"New Jersey","Hazardous Days",0
"484",1981,"New Jersey","Unhealthy Days",149
"485",1981,"New Jersey","Very Unhealthy Days",42
"486",1981,"New Jersey","Unhealthy for Sensitive Days",530
"487",1981,"New Mexico","Good Days",913
"488",1981,"New Mexico","Moderate Days",477
"489",1981,"New Mexico","Hazardous Days",0
"490",1981,"New Mexico","Unhealthy Days",105
"491",1981,"New Mexico","Very Unhealthy Days",25
"492",1981,"New Mexico","Unhealthy for Sensitive Days",207
"493",1981,"New York","Good Days",2810
"494",1981,"New York","Moderate Days",2027
"495",1981,"New York","Hazardous Days",0
"496",1981,"New York","Unhealthy Days",200
"497",1981,"New York","Very Unhealthy Days",29
"498",1981,"New York","Unhealthy for Sensitive Days",1096
"499",1981,"North Carolina","Good Days",1612
"500",1981,"North Carolina","Moderate Days",879
"501",1981,"North Carolina","Hazardous Days",0
"502",1981,"North Carolina","Unhealthy Days",174
"503",1981,"North Carolina","Very Unhealthy Days",0
"504",1981,"North Carolina","Unhealthy for Sensitive Days",254
"505",1981,"North Dakota","Good Days",1719
"506",1981,"North Dakota","Moderate Days",167
"507",1981,"North Dakota","Hazardous Days",0
"508",1981,"North Dakota","Unhealthy Days",1
"509",1981,"North Dakota","Very Unhealthy Days",0
"510",1981,"North Dakota","Unhealthy for Sensitive Days",41
"511",1981,"Ohio","Good Days",4438
"512",1981,"Ohio","Moderate Days",2527
"513",1981,"Ohio","Hazardous Days",0
"514",1981,"Ohio","Unhealthy Days",357
"515",1981,"Ohio","Very Unhealthy Days",32
"516",1981,"Ohio","Unhealthy for Sensitive Days",1418
"517",1981,"Oklahoma","Good Days",549
"518",1981,"Oklahoma","Moderate Days",345
"519",1981,"Oklahoma","Hazardous Days",0
"520",1981,"Oklahoma","Unhealthy Days",24
"521",1981,"Oklahoma","Very Unhealthy Days",0
"522",1981,"Oklahoma","Unhealthy for Sensitive Days",102
"523",1981,"Oregon","Good Days",1568
"524",1981,"Oregon","Moderate Days",889
"525",1981,"Oregon","Hazardous Days",0
"526",1981,"Oregon","Unhealthy Days",18
"527",1981,"Oregon","Very Unhealthy Days",6
"528",1981,"Oregon","Unhealthy for Sensitive Days",159
"529",1981,"Pennsylvania","Good Days",3549
"530",1981,"Pennsylvania","Moderate Days",2652
"531",1981,"Pennsylvania","Hazardous Days",0
"532",1981,"Pennsylvania","Unhealthy Days",303
"533",1981,"Pennsylvania","Very Unhealthy Days",52
"534",1981,"Pennsylvania","Unhealthy for Sensitive Days",1028
"535",1981,"Puerto Rico","Good Days",498
"536",1981,"Puerto Rico","Moderate Days",103
"537",1981,"Puerto Rico","Hazardous Days",0
"538",1981,"Puerto Rico","Unhealthy Days",2
"539",1981,"Puerto Rico","Very Unhealthy Days",0
"540",1981,"Puerto Rico","Unhealthy for Sensitive Days",24
"541",1981,"Rhode Island","Good Days",364
"542",1981,"Rhode Island","Moderate Days",232
"543",1981,"Rhode Island","Hazardous Days",0
"544",1981,"Rhode Island","Unhealthy Days",19
"545",1981,"Rhode Island","Very Unhealthy Days",10
"546",1981,"Rhode Island","Unhealthy for Sensitive Days",86
"547",1981,"South Carolina","Good Days",1718
"548",1981,"South Carolina","Moderate Days",619
"549",1981,"South Carolina","Hazardous Days",0
"550",1981,"South Carolina","Unhealthy Days",30
"551",1981,"South Carolina","Very Unhealthy Days",0
"552",1981,"South Carolina","Unhealthy for Sensitive Days",214
"553",1981,"Tennessee","Good Days",1793
"554",1981,"Tennessee","Moderate Days",1464
"555",1981,"Tennessee","Hazardous Days",0
"556",1981,"Tennessee","Unhealthy Days",177
"557",1981,"Tennessee","Very Unhealthy Days",5
"558",1981,"Tennessee","Unhealthy for Sensitive Days",909
"559",1981,"Texas","Good Days",2649
"560",1981,"Texas","Moderate Days",1001
"561",1981,"Texas","Hazardous Days",0
"562",1981,"Texas","Unhealthy Days",241
"563",1981,"Texas","Very Unhealthy Days",57
"564",1981,"Texas","Unhealthy for Sensitive Days",498
"565",1981,"Utah","Good Days",717
"566",1981,"Utah","Moderate Days",574
"567",1981,"Utah","Hazardous Days",0
"568",1981,"Utah","Unhealthy Days",170
"569",1981,"Utah","Very Unhealthy Days",6
"570",1981,"Utah","Unhealthy for Sensitive Days",315
"571",1981,"Vermont","Good Days",685
"572",1981,"Vermont","Moderate Days",109
"573",1981,"Vermont","Hazardous Days",0
"574",1981,"Vermont","Unhealthy Days",0
"575",1981,"Vermont","Very Unhealthy Days",0
"576",1981,"Vermont","Unhealthy for Sensitive Days",14
"577",1981,"Virginia","Good Days",2880
"578",1981,"Virginia","Moderate Days",1005
"579",1981,"Virginia","Hazardous Days",0
"580",1981,"Virginia","Unhealthy Days",65
"581",1981,"Virginia","Very Unhealthy Days",7
"582",1981,"Virginia","Unhealthy for Sensitive Days",248
"583",1981,"Washington","Good Days",1456
"584",1981,"Washington","Moderate Days",859
"585",1981,"Washington","Hazardous Days",0
"586",1981,"Washington","Unhealthy Days",95
"587",1981,"Washington","Very Unhealthy Days",10
"588",1981,"Washington","Unhealthy for Sensitive Days",408
